continent,country,position,positionlabel,officeholder,officeholderlabel,start_year,end_year
Europe,Germany,Q25223,President of Germany,Q76658,Frank-Walter Steinmeier,2017,
Europe,Germany,Q56022,Chancellor of Germany (1949–),Q61053,Olaf Scholz,2021,
Europe,Greece,Q3409203,President of Greece,Q57415743,Katerina Sakellaropoulou,2020,
Europe,Greece,Q4377230,Prime Minister of Greece,Q552751,Kyriakos Mitsotakis,2019,
Europe,Hungary,Q520765,President of Hungary,Q57467,János Áder,2012,
Europe,Hungary,Q3315094,Prime Minister of Hungary,Q57641,Viktor Orbán,2010,
Europe,Iceland,Q19188924,President of Iceland,Q24045706,Guðni Th. Jóhannesson,2016,
Europe,Iceland,Q19190022,Prime Minister of Iceland,Q467464,Katrín Jakobsdóttir,2017,
Europe,Ireland,Q213702,President of Ireland,Q57276,Michael D. Higgins,2011,
Europe,Ireland,Q191827,Taoiseach,Q920403,Micheál Martin,2020,
Europe,Italy,Q332711,President of Italy,Q3956186,Sergio Mattarella,2015,
Europe,Italy,Q796897,Prime Minister of Italy,Q294460,Mario Draghi,2021,
Europe,Kosovo,Q886947,President of Kosovo,Q13047644,Vjosa Osmani,2021,
Europe,Kosovo,Q116102,Prime Minister of Kosovo,Q441633,Albin Kurti,2021,
Europe,Kosovo,Q784084,Special Representative of the Secretary-General for Kosovo,Q3918330,Zahir Tanin,2015,
Europe,Latvia,Q218014,President of Latvia,Q348043,Egils Levits,2019,
Europe,Latvia,Q369500,Prime Minister of Latvia,Q3736499,Arturs Krišjānis Kariņš,2019,
Europe,Liechtenstein,Q6898090,Prince of Liechtenstein,Q57454,"Hans-Adam II, Prince of Liechtenstein",1989,
Europe,Liechtenstein,Q173843,Regent of Liechtenstein,Q311308,"Alois, Hereditary Prince of Liechtenstein",2004,
Europe,Liechtenstein,Q1144716,Prime Minister of Liechtenstein,Q30882650,Daniel Risch,2021,
Europe,Lithuania,Q878222,President of Lithuania,Q9268379,Gitanas Nausėda,2019,
Europe,Lithuania,Q845439,Prime Minister of Lithuania,Q437096,Ingrida Šimonytė,2020,
Europe,Luhansk People's Republic,Q16746854,Luhansk People's Republic,Q43590358,Leonid Pasechnik,2017,
Europe,Luhansk People's Republic,Q16746854,Luhansk People's Republic,Q21855460,Sergey Kozlov (politician),2015,
Europe,Luxembourg,Q3276071,Grand Duke of Luxembourg,Q16004,"Henri, Grand Duke of Luxembourg",2000,
